vacancy_id,job_title,company_name,experience_required,salary,region,company_domain,is_remote,date,hard_skills,soft_skills,tool_name,role_name,text
203,Математик/Специалист по Big Data,NAUKA,От 3 до 6 лет,,Санкт-Петербург,IT-компания,True,2025-08-06,"Алгоритмизация решений, Анализ временных рядов, Работа с Git, Работа с Jupyter, Разработка математических моделей, Формализация задач","Коммуникация, Логическое мышление","NumPy, Python, SciPy, pandas, scikit-learn, statsmodels, NumPy, Python, SciPy, Time Series, pandas, prophet, python, scikit-learn, sklearn, statsmodels, Авто МЛ ARIMA, Математическая и статистическая база, Математическая статистика, Теория вероятностей, Git, GitLab, commit, git pull, push, Jupyter, NumPy, Python, SciPy, pandas, scikit-learn, statsmodels, NumPy, Python, SciPy, pandas, scikit-learn, statsmodels",Дата-сайентист,Математик/Специалист по Big Data
204,Инженер-алгоритмист / Математик-аналитик / Дата-сайентист,НПО ГОРИЗОНТ,От 1 года до 3 лет,от 200 000 руб.,Ростов-на-Дону,,False,2025-08-08,"Прогнозирование траекторий движения, Работа с MATLAB, Mathcad, Octave, Разработка математических и вероятностных алгоритмов, Реализация алгоритмов, Сложные математические расчёты, Фильтрация шумов и помех в измерениях, Численное моделирование","Аналитическое мышление, Исследовательский анализ данных","MATLAB, Mathcad, Octave, Extended Kalman, Kalman, Particle Filters, C++, Python",Дата-сайентист,Инженер-алгоритмист / Математик-аналитик / Дата-сайентист
205,Data Engineer,Кеменова Мария Алексеевна,От 3 до 6 лет,,Кипр,Игровой стартап,True,2025-08-19,"ETL-процессы, Визуализация данных, Интеграция данных, Оркестрация процессов, Работа с внешними API, Сбор и обработка данных","Дисциплинированность, Коммуникабельность, Неравнодушие к результату, Проактивность","Airflow, ClearML, Dagster, Docker, ETL, Kubernetes, Luigi, Nifi, Python, numpy, pandas, sklearn, Apache Superset, BI-инструменты, ClickHouse, DAX, Dash, Data Studio, DataLens, Datalens, Excel, Folium, Jupyter, Jupyter Notebook, KeplerGL, Leaflet, Looker, MS Power BI, Matplotlib, Metabase, Plotly, Power BI, Python, Python (Pandas, NumPy, MatPlotLib), Qlik, Qlik Sense, Redash, Seaborn, Superset, Tableau, Yandex DataLens, dataflows, matplotlib, matplotlib.pyplot, matplotlib/seaborn, plotly, powerBI, seaborn, shared datasets, базовые инструменты визуализации, инструменты визуализации данных, 1С, API, AdMon, Airflow, Apache Kafka, Apache NiFi, App Store, AppsFlyer, CRM, Debezium, ERP, Excel, Google Ads, Google Play, Informatica, JDBC, JSON, Kafka, Meta, MongoDB, NoSQL, Parquet, REST API, S3, базы данных, внешние источники, внешние сервисы, лабораторные системы, файловые хранилища, Airflow, GitLab, REST/JSON, Clickhouse, ONNX, OpenCV, PostgreSQL, PyTorch, TensorFlow",Дата-сайентист,Data Engineer
206,Data Scientist,АЛЬФА-БАНК,От 3 до 6 лет,,Минск,Финтех,False,2025-09-02,"Генеративный ИИ и LLM, Оптимизация бизнес-процессов, Работа с временными рядами, Разработка ML-моделей","коммуникация, обмен знаниями, работа в команде","Fine-tuning моделей, RAG, embedding-based retrieval, Методы линейного/целочисленного программирования, эвристики, ARIMA, DeepAR, LSTM, LSTMs, Numpy, ONNX, Pandas, Prophet, Python, SARIMA, Sklearn, TensorRT, Tensorflow, Torch, Transformers, Apache Spark, Autoencoders, CatBoost, FasterTransformer, HF Transformers, Hadoop, LLM, LangChain, LightGBM, ML, Matplotlib, NLP, NumPy, ONNX, Pandas, Plotly, PySpark, PyTorch, Python, RNN, ResNet, SQL, Scikit-learn, SkLearn, TensorFlow, Transformers, Triton, U-Net, XGBoost, YOLO, catboost, fastapi, numpy, pandas, python, pytorch, scikit-learn, sql, tensorflow, бустинги, трансформеры",Дата-сайентист,Data Scientist
207,Data Scientist (NLP),CLICK,От 1 года до 3 лет,,Ташкент,Финтех,False,2025-09-01,"Big Data, ML Ops, Python для ML, Бизнес-анализ, Работа с SQL, Работа с базами данных",,"Airflow, Apache AirFlow, Apache Airflow, Apache Flink, Apache Nifi, Apache Spark, BigData, ClickHouse, Databricks, Docker, Flink, Grafana, Greenplum, HDFS, Hadoop, Hive, HiveQL, Jupyter Notebook, Kafka, Kubernetes, RabbitMQ, Spark, DVC, MLFlow, жизненный цикл ML-моделей, catboost, lightgbm, matplotlib, numpy, pandas, pytorch, scikit-learn, xgboost, Apache Superset, PowerBI, Tableau, BigQuery, CTE, ClickHouse, Clickhouse, Greenplum, Hadoop, Hadoop-стек, Hive, JOIN’ы, MS SQL, MS SQL Server, MSSQL, MySQL, NoSQL БД, Oracle, PL SQL, PostgreSQL, Postgres, PySpark (SQL-API), SQL, SQL Server, Snowflake, T-SQL, Trino, Vertica, YQL, numpy, pandas, pyodbc, requests, scikit-learn, scipy, Оконные функции, агрегатные функции, оконные функции, подзапросы, реляционные БД, Alembic, Cassandra, ClickHouse, Clickhouse, DB2, GreenPlum, Greenplum, Groovy, Hive, Iceberg, Impala, Java, Kafka, Kyuubi, MS SQL, MSSQL, Microsoft SQL Server, MongoDB, MySQL, No-SQL, NoSQL, NoSQL (MongoDB, Cassandra), OLAP, OLTP, OpenSearch, Opensearch, Oracle, PostgreSQL, Postgres, PostgresSQL, PySpark, QDrant, Qdrant, Redis, S3, SQL, SQL (PostgreSQL, MySQL), SQLAlchemy, Superset, aioodbc, alembic, elasticsearch, pgvector, pyodbc",Дата-сайентист,Data Scientist (NLP)
208,ML-инженер (Middle),Риверстарт,От 1 года до 3 лет,от 120 000 руб. до 150 000 руб.,Нижний Новгород,IT-компания,False,2025-09-02,"Мониторинг дрейфа данных, Настройка CI/CD для моделей, Оптимизация inference time, Оценка качества моделей, Подбор гиперпараметров, Понимание GBDT, Программирование на Python, Работа с Docker, Kubernetes, Работа с Transformer, RNN, CNN, Умение строить ETL-пайплайны",,"Evidently, Prometheus, DVC, MLflow, A/B тестирование, BLEU, IoU, Python, ROUGE, human evaluation, mAP, автоматические метрики, Hyperopt, Optuna, LightGBM, XGBoost, NumPy, Pandas, PyTorch, Python, Python 3, Requests, Sklearn, TensorFlow, numpy, pandas, scikit-learn, scipy, автоматизация, пайплайны, Docker, Kubernetes, BERT, Diffusion Models, YOLO, Apache Beam, Dask, Spark",Дата-сайентист,ML-инженер (Middle)
209,Middle Data Scientist,МТС,От 3 до 6 лет,,Москва,Кибербезопасность,False,2025-08-27,"Программирование на Python, Работа с LangChain и Langraph, Работа с контейнеризацией, Работа с фреймворками ML и DL, Разработка с использованием Fast API",,"NumPy, Pandas, PyTorch, Python, Python 3, Requests, Sklearn, TensorFlow, numpy, pandas, scikit-learn, scipy, автоматизация, пайплайны, langchain, langraph, Docker, K8S, Kubernetes, k8s, nltk, numpy, pandas, pytorch, scipy, sklearn, transformers, Fast API",Дата-сайентист,Middle Data Scientist
210,Middle Data Scientist в Golden Record,МТС,От 1 года до 3 лет,,Москва,IT,False,2025-08-21,"Анализ данных, Работа с Docker, Работа с Hadoop, Разработка моделей классификации, Теоретические знания ML",Интерпретация результатов,"Ad Hoc Analysis, Airflow, Autogen, BI-инструменты, BigQuery, CatBoost, ClickHouse, Clickhouse, Git, Google Colab, Grafana, GreenPlum, Greenplum, Hadoop, JAX, Jupyter, Langchain, Langgraph, LightGBM, MLflow, MatPlotLib, Matlab, Matplotlib, Matplotlib/Seaborn/Plotly, MySQL, NumPy, Numpy, Ollama, Pandas, Pandas/Polars, Plotly, PostgreSQL, PowerBi, PyMC, PySpark, PyTorch, Python, Python 3, Python3, R, Redshift, S3, SAS, SQL, SciPy, Scikit-learn, Seaborn, Statsmodels, TensorFlow, Transformers, XGBoost, arviz, catboost, hyperopr, lightgbm, matplotlib, numpy, optuna, pandas, plotly, polars, scikit-learn, scikit‑learn, scipy, seaborn, sklearn, statsmodels, xgboost, Алгоритмы и структуры данных, Базовый SQL, Искусственный интеллект, Математическая статистика, Основные библиотеки анализа данных, Стандартный стек ML, Стандартный стек NLP, Теория вероятностей, библиотеки для анализа данных и машинного обучения, Airflow, Docker, Docker Compose, Apache Spark, HDFS, Hadoop, Hive, Pyspark, S3, SQL, Spark, CatBoost, LightGBM, XGBoost, sklearn, нейронные сети",Дата-сайентист,Middle Data Scientist в Golden Record
211,Data scientist (команда CRM и модели оптимизации),Банк ВТБ (ПАО),От 1 года до 3 лет,,Москва,Финансовый сектор,True,2025-08-22,"анализ данных, машинное обучение, прогнозирование, работа с текстом","проактивность, творческий подход","Hadoop, PySpark, PyTorch, Python, SQL, Spark, TensorFlow, numpy, pandas, scikit-learn, Airflow, BERT, CNN, CatBoost, Classic ML, DL, DNN, GBDT, GPT, Git, Hadoop, Hive, Kubernetes, LSTM, LightGBM, ML, Numpy, Pandas, Polars, PostgreSQL, PyTorch, Python, RNN, ResNet, Scikit-Learn, Scikit-learn, Spark, TensorFlow, ViT, XGBoost, pyTorch, transformers, линейные модели, PyTorch, TF, XGBoost, scikit-learn, бустинги, деревья решений, кластеризация, логистическая регрессия, NLP, анализ тональности, поиск ключевых слов, суммаризация, тематическое моделирование",Дата-сайентист,Data scientist (команда CRM и модели оптимизации)
212,Data Scientist (MMM Specialist),Lenkep recruitment,От 3 до 6 лет,,Москва,Не указано,True,2025-09-02,"Feature engineering, Запуск моделей, Интерпретация результатов, Работа с данными маркетинга и рекламы, Сбор и подготовка данных",Презентовать результаты,"Python, numpy, pandas, scikit-learn, PyMC, Robyn, Python, arviz, CRM, DV360, GA4, Google Ads, MMPs, Meta, Python, numpy, pandas",Дата-сайентист,Data Scientist (MMM Specialist)
213,Data Engineer,КБ Уральский банк реконструкции и развития (УБРиР),От 3 до 6 лет,,Екатеринбург,Банк,True,2025-09-04,"Контроль качества данных, Проектирование модели данных, Работа с ETL пайплайнами, Работа с данными в контексте машинного обучения, Управление командой","Взаимодействие с другими командами, Управление командой","Spark (PySpark), Airflow, Delta Lake, GitLab, Kafka, MLFlow, S3, Spark (PySpark), Terraform, Yandex Cloud, Руководство коллективом",Дата-сайентист,Data Engineer
214,Data engineer,ИЦ АЙ-ТЕКО,От 3 до 6 лет,,Москва,Системный интегратор и поставщик информационных технологий,False,2025-09-04,"DWH, ETL, Оптимизация запросов, СУБД","внимание к деталям, коммуникативные навыки, ответственность, самостоятельность","CDC, ClickHouse, DWH, DataVault, ETL/ELT, Hadoop, Inmon, Kimball, MS SQL Server, AirFlow, Airflow, Apache Airflow, Apache Nifi, ETL, Extract, Hadoop, Hive, Informatica, Kafka, Load, MS SSIS, Microsoft Fabric, NiFi, Prefect, PySpark, Python, SAS, SQL, Spark, Talend, Transform, dbt, JOIN, SQL, индексы, методы доступа к данным, первичные ключи, планы запросов, физические виды JOIN, NRT, OLAP, OLTP",Дата-сайентист,Data engineer
215,Data Scientist (Researcher),Botan Investments,От 3 до 6 лет,,Санкт-Петербург,Разработка,False,2025-08-13,"Анализ научных статей, Подготовка и валидация датасетов, Проведение R&D экспериментов, Разработка алгоритмов",Чтение научной литературы,"Autonomous Agents, LLM, RAG, Reinforcement Learning, AirFlow, C++, ML библиотеки, NumPy, OpenCV, Pandas, PyTorch, Python, Qt, Scikit-learn, TensorFlow, Triton",Дата-сайентист,Data Scientist (Researcher)
216,Инженер баз данных SQL / SQL Data engineer,Perfetti Van Melle,От 1 года до 3 лет,,Санкт-Петербург,FMCG,False,2025-08-12,"ETL, Визуализация данных, Оптимизация производительности СУБД, Работа с базами данных",Аналитическое мышление,"AirFlow, Airflow, Apache Airflow, Apache Nifi, ETL, Extract, Hadoop, Hive, Informatica, Kafka, Load, MS SSIS, Microsoft Fabric, NiFi, Prefect, PySpark, Python, SAS, SQL, Spark, Talend, Transform, dbt, Apache Superset, BI-инструменты, ClickHouse, DAX, Dash, Data Studio, DataLens, Datalens, Excel, Folium, Jupyter, Jupyter Notebook, KeplerGL, Leaflet, Looker, MS Power BI, Matplotlib, Metabase, Plotly, Power BI, Python, Python (Pandas, NumPy, MatPlotLib), Qlik, Qlik Sense, Redash, Seaborn, Superset, Tableau, Yandex DataLens, dataflows, matplotlib, matplotlib.pyplot, matplotlib/seaborn, plotly, powerBI, seaborn, shared datasets, базовые инструменты визуализации, инструменты визуализации данных, SQL, SQL Server Profiler, Alembic, Cassandra, ClickHouse, Clickhouse, DB2, GreenPlum, Greenplum, Groovy, Hive, Iceberg, Impala, Java, Kafka, Kyuubi, MS SQL, MSSQL, Microsoft SQL Server, MongoDB, MySQL, No-SQL, NoSQL, NoSQL (MongoDB, Cassandra), OLAP, OLTP, OpenSearch, Opensearch, Oracle, PostgreSQL, Postgres, PostgresSQL, PySpark, QDrant, Qdrant, Redis, S3, SQL, SQL (PostgreSQL, MySQL), SQLAlchemy, Superset, aioodbc, alembic, elasticsearch, pgvector, pyodbc",Дата-сайентист,Инженер баз данных SQL / SQL Data engineer
217,AI Prompt Engineer,СБЕР,От 3 до 6 лет,,Москва,IT,False,2025-08-19,"prompt engineering, работа с LLM, разработка ИИ-агентов","быстрая обучаемость, готовность к сложным задачам, коммуникабельность","Claude, Hugging Face, LangChain, LlamaIndex, OpenAI, open-source LLMs, Claude, GPT, Mistral, NumPy, Pandas, Python",Дата-сайентист,AI Prompt Engineer
218,Data Engineer,Деко Системс,От 3 до 6 лет,,Москва,ИТ-компания,True,2025-08-26,"Оптимизация производительности, Проектирование хранилищ данных, Работа с базами данных, Работа с высоконагруженными системами, Разработка ETL, Формирование технических спецификаций, Чтение технической документации",Коммуникабельность,"Delta-формат, Docker, MS SQL Server, NoSQL, SQL, SQL Server Integration Services (SSIS), T-SQL, кластеризация, партиционирование, Arenadata DB (Greenplum), Data Vault 2.0, Alembic, Cassandra, ClickHouse, Clickhouse, DB2, GreenPlum, Greenplum, Groovy, Hive, Iceberg, Impala, Java, Kafka, Kyuubi, MS SQL, MSSQL, Microsoft SQL Server, MongoDB, MySQL, No-SQL, NoSQL, NoSQL (MongoDB, Cassandra), OLAP, OLTP, OpenSearch, Opensearch, Oracle, PostgreSQL, Postgres, PostgresSQL, PySpark, QDrant, Qdrant, Redis, S3, SQL, SQL (PostgreSQL, MySQL), SQLAlchemy, Superset, aioodbc, alembic, elasticsearch, pgvector, pyodbc, Airflow, Apache NiFi, Celery, Docker, Docker Compose, FastAPI, GIT + Jenkins, Hadoop, Informatica PowerCenter (Developer), Kubernetes, MS SQL Server, MongoDB, PostgreSQL, Pydantic, Python, RabbitMQ, Redis, Scala, Spark, Английский язык",Дата-сайентист,Data Engineer
219,Программист (Data Scientist),ФГБНУ НИИНМ,От 1 года до 3 лет,от 100 000 руб.,Новосибирск,научно-исследовательский институт,False,2025-08-19,"Владение языками программирования, Программирование стимульных парадигм, Цифровая обработка физиологических сигналов",,"C++, Python, Presentation, PsychoPy, EEGlab, MNE Python, MatLab",Дата-сайентист,Программист (Data Scientist)
220,"Data Scientist уровня junior+, middle, senior",Элдик Банк (РСК Банк),От 1 года до 3 лет,,Бишкек,Банк,False,2025-08-25,"Анализ данных, Понимание классических моделей машинного обучения, Проведение A/B тестов, Работа с SQL, Разработка классических ML-моделей",Взаимодействие с заказчиками,"Ad Hoc Analysis, Airflow, Autogen, BI-инструменты, BigQuery, CatBoost, ClickHouse, Clickhouse, Git, Google Colab, Grafana, GreenPlum, Greenplum, Hadoop, JAX, Jupyter, Langchain, Langgraph, LightGBM, MLflow, MatPlotLib, Matlab, Matplotlib, Matplotlib/Seaborn/Plotly, MySQL, NumPy, Numpy, Ollama, Pandas, Pandas/Polars, Plotly, PostgreSQL, PowerBi, PyMC, PySpark, PyTorch, Python, Python 3, Python3, R, Redshift, S3, SAS, SQL, SciPy, Scikit-learn, Seaborn, Statsmodels, TensorFlow, Transformers, XGBoost, arviz, catboost, hyperopr, lightgbm, matplotlib, numpy, optuna, pandas, plotly, polars, scikit-learn, scikit‑learn, scipy, seaborn, sklearn, statsmodels, xgboost, Алгоритмы и структуры данных, Базовый SQL, Искусственный интеллект, Математическая статистика, Основные библиотеки анализа данных, Стандартный стек ML, Стандартный стек NLP, Теория вероятностей, библиотеки для анализа данных и машинного обучения, Python, BigQuery, CTE, ClickHouse, Clickhouse, Greenplum, Hadoop, Hadoop-стек, Hive, JOIN’ы, MS SQL, MS SQL Server, MSSQL, MySQL, NoSQL БД, Oracle, PL SQL, PostgreSQL, Postgres, PySpark (SQL-API), SQL, SQL Server, Snowflake, T-SQL, Trino, Vertica, YQL, numpy, pandas, pyodbc, requests, scikit-learn, scipy, Оконные функции, агрегатные функции, оконные функции, подзапросы, реляционные БД, Python, numpy, pandas, sklearn",Дата-сайентист,"Data Scientist уровня junior+, middle, senior"
221,Data Scientist в направление аудио/speech,X5 Tech,От 3 до 6 лет,,Москва,IT-компания,False,2025-09-04,"Мониторинг и поддержка моделей, Опыт работы с задачи аудио/speech, Понимание классических алгоритмов и структур данных, Разработка алгоритмов",,"AirFlow, C++, ML библиотеки, NumPy, OpenCV, Pandas, PyTorch, Python, Qt, Scikit-learn, TensorFlow, Triton",Дата-сайентист,Data Scientist в направление аудио/speech
222,Data engineer (Middle+),SkillStaff,От 3 до 6 лет,до 295000 руб. в месяц,Москва,Финтех,False,2025-08-11,"Проектирование DWH, Разработка SQL-запросов, Реализация ETL/ELT, Создание хранимых процедур",,"BigQuery, ClickHouse, Clickhouse, DWH, Data Vault, Kimball, MS SQL Server, PostgreSQL, Postgres, Snowflake, CTE, SQL, Оконные функции, ELT, ETL, SQL",Дата-сайентист,Data engineer (Middle+)
223,DevOps Engineer (Big Data / Data Engineering),TEAMSCORE,От 1 года до 3 лет,,Москва,IT-компания,True,2025-09-02,"CI/CD, Автоматизация, Базы данных, Инфраструктура Big Data, Мониторинг, Скриптинг","Внимание к деталям, Готовность учиться новому, Инициативность, Командная работа, Ответственность","Airflow, Argo CD, CI/CD, CI/CD для пайплайнов данных, Docker, Flux, Git, GitLab, GitLab CI, Gitlab CI, Jenkins, Kubernetes, MLflow, TeamCity, Terraform, Ansible, Bash, Chef, Git, Puppet, Python, MongoDB, MySQL, NoSQL, NoSQL (MongoDB), PostgreSQL, SQL, SQL (PostgreSQL, MySQL), Apache Airflow, Apache Hadoop, Apache Kafka, Zookeeper, Alertmanager, BI-инструменты, ELK, Grafana, ML Monitoring tools, Prometheus, QlikSense, Sentry, Zabbix, Bash, Python",Дата-сайентист,DevOps Engineer (Big Data / Data Engineering)
224,Senior NLP/ML Engineer,Перспектива,От 3 до 6 лет,от 300 000 руб. до 400 000 руб.,Москва,Стартап в сфере HR-tech,True,2025-08-21,"Fine-tuning моделей, ML-мониторинг и логгирование, Интеграция моделей разных вендоров, Работа с LLM-фреймворками, Работа с Python, Работа с function calling, structured output, tools, agents, memory, multi-agent системами, Работа с трансформерами, Разработка ML-сервисов",Коммуникация,"Claude, GPT, Gemini, Llama, LoRA, Mistral, QLoRA, Docker, FastAPI, Claude, Llama, Mistral, OpenAI, Qwen, LangChain, LangGraph, LlamaIndex, API, AirFlow, FastAPI, Flask, NumPy, Numpy, Pandas, Python, Python 3, Python 3.*, Python 3.11, Python 3.х, SDK, matplotlib, numpy, pandas, scikit-learn, transformers, Антипаттерны, ООП, Паттерны проектирования, BERT, GPT, FastAPI/Flask, HuggingFace Transformers, LangChain/LlamaIndex, Python, vLLM",Дата-сайентист,Senior NLP/ML Engineer
225,PostgreSQL DBA / Database Engineer,ГК Орбита,От 3 до 6 лет,,Москва,ИТ-компания,True,2025-09-03,"Автоматизация и управление конфигурациями, Администрирование БД, Мониторинг информационных систем, Работа с Ansible, Работа с UNIX-подобными системами, Работа со стеком продуктов Atlassian",,"Jenkins, PostgreSQL, ELK Stack, Grafana, Ansible, UNIX, Bitbucket, Confluence, Jira",Дата-сайентист,PostgreSQL DBA / Database Engineer
226,ML Tech Lead,Лайфтех,От 3 до 6 лет,,Минск,Не указано,False,2025-08-18,"Аналитическое мышление, Разработка ML-моделей","Консультирование, Менторство","Apache Spark, Autoencoders, CatBoost, FasterTransformer, HF Transformers, Hadoop, LLM, LangChain, LightGBM, ML, Matplotlib, NLP, NumPy, ONNX, Pandas, Plotly, PySpark, PyTorch, Python, RNN, ResNet, SQL, Scikit-learn, SkLearn, TensorFlow, Transformers, Triton, U-Net, XGBoost, YOLO, catboost, fastapi, numpy, pandas, python, pytorch, scikit-learn, sql, tensorflow, бустинги, трансформеры",Дата-сайентист,ML Tech Lead
227,Data Engineer,Oil and Gas Production Tools,От 3 до 6 лет,,Санкт-Петербург,Технологическая it-компания,True,2025-08-20,"Администрирование и оптимизация баз данных, Мониторинг данных-пайплайнов, хранилищ и баз данных, Проектирование масштабируемых данных-пайплайнов, Работа в среде Linux, Работа с NoSQL и реляционными базами данных, Работа с распределёнными объектными хранилищами, Разработка ETL/ELT пайплайнов",Командная работа,"ClickHouse, PostgreSQL, Airflow, Dagster, Prefect, Airflow, Dagster, Prefect, Linux, ClickHouse, MongoDB, PostgreSQL, MinIO, S3, Python",Дата-сайентист,Data Engineer
228,Data Engineer,ПЛОНК,От 3 до 6 лет,,Москва,Международный бренд альтернативных систем доставки никотина,False,2025-08-14,"Документирование, Интеграция с REST API, Обработка данных из email, Обработка и трансформация данных, Построение конвейеров ETL/ELT, Проектирование и управление схемами БД, Работа с Airflow",Проактивность,"Документация, REST API, Email, NumPy, Python, SQLAlchemy, pandas, psycopg2, pyodbc, ELT, ETL, PostgreSQL, AirFlow, Airflow, Airflow 2.x, Apache Airflow",Дата-сайентист,Data Engineer
229,Lead Data Engineer,ГКУ Инфогород,От 3 до 6 лет,,Москва,Департамент информационных технологий,False,2025-08-07,"Визуализация данных, Настройка мониторинга и контроля качества данных, Проектирование и разработка ETL/ELT, Работа с Clickhouse, Работа с Greenplum + Data Vault",,"Apache Superset, BI-инструменты, ClickHouse, DAX, Dash, Data Studio, DataLens, Datalens, Excel, Folium, Jupyter, Jupyter Notebook, KeplerGL, Leaflet, Looker, MS Power BI, Matplotlib, Metabase, Plotly, Power BI, Python, Python (Pandas, NumPy, MatPlotLib), Qlik, Qlik Sense, Redash, Seaborn, Superset, Tableau, Yandex DataLens, dataflows, matplotlib, matplotlib.pyplot, matplotlib/seaborn, plotly, powerBI, seaborn, shared datasets, базовые инструменты визуализации, инструменты визуализации данных, Openmetadata, Airflow, PySpark, Python, Clickhouse, Data Vault, Greenplum, Liquibase",Дата-сайентист,Lead Data Engineer
230,Data Scientist (Блок Финансы),СБЕР,От 3 до 6 лет,,Москва,IT,False,2025-09-03,"Causal inference, Работа с большими данными, Разработка моделей оценки влияния",Коммуникация с заказчиком,"DR-learner, Python, S-learner, T-learner, API, Airflow, Avro, BigQuery, Click house, ClickHouse, Clickhouse, Cloudera, DBT, Dask, GreenPlum, Greenplum, HDFS, Hadoop, Hadoop stack, Hive, Hue, Kafka, MapReduce, Parquet, PostgreSQL, Postgres, Prefect, PySpark, PyTorch, Python, Redshift, S3, SQL, Snowflake, Spark, Spark SQL, TensorFlow, Tez, Trino, Triton, YARN, YTsaurus, hdfs, hive, pandas, pySpark, CatBoost, DoWhy, EconML, Hypex, Python, causal-learn, scikit-learn",Дата-сайентист,Data Scientist (Блок Финансы)
231,Senior Data Scientist,Российская государственная библиотека,От 1 года до 3 лет,,Москва,Национальная библиотека,False,2025-09-01,"Анализ данных, Обучение моделей CV, Работа с LLM, Разработка моделей компьютерного зрения",Аналитическое мышление,"Ad Hoc Analysis, Airflow, Autogen, BI-инструменты, BigQuery, CatBoost, ClickHouse, Clickhouse, Git, Google Colab, Grafana, GreenPlum, Greenplum, Hadoop, JAX, Jupyter, Langchain, Langgraph, LightGBM, MLflow, MatPlotLib, Matlab, Matplotlib, Matplotlib/Seaborn/Plotly, MySQL, NumPy, Numpy, Ollama, Pandas, Pandas/Polars, Plotly, PostgreSQL, PowerBi, PyMC, PySpark, PyTorch, Python, Python 3, Python3, R, Redshift, S3, SAS, SQL, SciPy, Scikit-learn, Seaborn, Statsmodels, TensorFlow, Transformers, XGBoost, arviz, catboost, hyperopr, lightgbm, matplotlib, numpy, optuna, pandas, plotly, polars, scikit-learn, scikit‑learn, scipy, seaborn, sklearn, statsmodels, xgboost, Алгоритмы и структуры данных, Базовый SQL, Искусственный интеллект, Математическая статистика, Основные библиотеки анализа данных, Стандартный стек ML, Стандартный стек NLP, Теория вероятностей, библиотеки для анализа данных и машинного обучения, CV, Anthropic, BERT, BERT-like, Bash, ChatGPT, Claude, CoT, Cohere, Cotype Nano, EfficientNet, GPT, GigaChat, Git, Google Gemini, Hugging Face, HuggingFace, LLM, LangChain, Linux, Llama, LlamaIndex, LoRA, Mistral, Numpy, Ollam, OpenAI, OpenAI GPT, Pixtral, Prompt tuning, PyTorch, Qwen, Qwen VL, RAG, ResNet, SO, Scikit-learn, T-Pro, TensorFlow, autogen, checklists, fine-tuning, langchain, langflow, langgraph, llamaindex, open-source модели, pandas, Промптинг, Яндекс, кастомизация, CV",Дата-сайентист,Senior Data Scientist
232,ML-engineer,Платформа Трим,От 3 до 6 лет,,Москва,IT-компания,False,2025-09-04,"Анализ данных, Обработка видео, Работа с ML-инфраструктурой, Разработка алгоритмов","Командная работа, Коммуникация","Ad Hoc Analysis, Airflow, Autogen, BI-инструменты, BigQuery, CatBoost, ClickHouse, Clickhouse, Git, Google Colab, Grafana, GreenPlum, Greenplum, Hadoop, JAX, Jupyter, Langchain, Langgraph, LightGBM, MLflow, MatPlotLib, Matlab, Matplotlib, Matplotlib/Seaborn/Plotly, MySQL, NumPy, Numpy, Ollama, Pandas, Pandas/Polars, Plotly, PostgreSQL, PowerBi, PyMC, PySpark, PyTorch, Python, Python 3, Python3, R, Redshift, S3, SAS, SQL, SciPy, Scikit-learn, Seaborn, Statsmodels, TensorFlow, Transformers, XGBoost, arviz, catboost, hyperopr, lightgbm, matplotlib, numpy, optuna, pandas, plotly, polars, scikit-learn, scikit‑learn, scipy, seaborn, sklearn, statsmodels, xgboost, Алгоритмы и структуры данных, Базовый SQL, Искусственный интеллект, Математическая статистика, Основные библиотеки анализа данных, Стандартный стек ML, Стандартный стек NLP, Теория вероятностей, библиотеки для анализа данных и машинного обучения, Инструменты для поиска виральных моментов, Инструменты для разделения на эпизоды, Инструменты для суммаризации, Docker, Git, Linux, REST API, AirFlow, C++, ML библиотеки, NumPy, OpenCV, Pandas, PyTorch, Python, Qt, Scikit-learn, TensorFlow, Triton",Дата-сайентист,ML-engineer
233,Oracle Data Engineer,Freedom Holding Operations,От 3 до 6 лет,,Алматы,Не указано,True,2025-09-02,"DWH, ETL, OLAP, Oracle Database, PL/SQL, SQL",,"CDC, ClickHouse, DWH, DataVault, ETL/ELT, Hadoop, Inmon, Kimball, MS SQL Server, AirFlow, Airflow, Apache Airflow, Apache Nifi, ETL, Extract, Hadoop, Hive, Informatica, Kafka, Load, MS SSIS, Microsoft Fabric, NiFi, Prefect, PySpark, Python, SAS, SQL, Spark, Talend, Transform, dbt, OLAP, Oracle Database (12c/19c и выше), PL/SQL, BQ, CTE, Cassandra, ClickHouse, Clickhouse, DB2, Functions, Greenplum, Hive, JOIN, MS SQL, MsSQL, MySQL, NoSQL, Oracle, Oracle/MS SQL/Teradata/SQL Server/SAP (Sybase)/Greenplum, PL/SQL, PostgreSQL, Postgres, SQL, Spark, Stored procedures, Trino, Views, mySql, pgSql, Распределённые вычисления, агрегатные функции, группировки, оконные функции, оптимизация, процедуры",Дата-сайентист,Oracle Data Engineer
